ID,Name,Email,"Grade Level",Section,"Is Enrolled","Enrollment Date"
1,"wewew ferd",email@gmail.com,1,A,1,"2025-11-06 01:58:50"
2,"wewew ferd",email1@gmail.com,1,A,1,"2025-11-06 01:59:10"
3,reween,reween@gmail.com,1,A,1,"2025-11-06 02:23:09"
4,"Reween Rambonanza",reween25@gmail.com,1,A,1,"2025-11-06 04:09:57"
5,"Reween Wewe",ween@gmail.com,1,A,1,"2025-11-06 04:12:55"
6,Rambo,rambonanzakalis@gmail.com,3,A,1,"2025-11-06 04:17:32"
7,iwen11,iwen11@gmail.com,K1,A,1,"2025-11-09 00:43:31"
8,Dodogama,dodogama@gmail.com,6,B,1,"2025-11-09 03:55:10"
9,"Sierra Madre",sierra@gmail.com,"Not Set",,1,"2025-11-11 12:20:19"
10,ghghg,1@gmail.com,"Not Set",,1,"2025-11-11 12:32:16"
11,rweq,2@gmail.com,K1,C,1,"2025-11-11 13:26:54"
12,"sierra V. uwan",serra@gmail.com,K1,B,1,"2025-11-11 13:34:27"
